location,code
C03M-11-01,03D5A324BA9C
C03M-11-02,03D5A21EBA94
C03M-11-03,03D633E4BA9A
C03M-11-04,03D633B9BA92
C03M-11-05,03D6349FBA91
C03M-11-06,03D633AABA90
C03M-11-07,03D5A218BA92
C03M-11-08,03D6349CBA92
C03M-11-09,03D5A236BA9E
C03M-11-10,03D5A243BA9C
C03M-11-11,03D5A210BA9A
C03M-11-12,03D5A220BA99
C03M-11-13,03D5A22BBA92
C03M-11-14,03D5A22DBA94
C03S-12-01,03D5A225BA9C
C03S-12-02,03D5A316BA9D
C03S-12-03,03D5A22FBA96
C03S-12-04,03D5A238BA90
C03S-12-05,03D5A211BA9B
C03S-12-06,03D5A311BA9A
C03S-12-07,03D5A20DBA96
C03S-12-08,03D5A214BA9E
C03S-12-09,03D5A22CBA95
C03S-12-10,03D5A20CBA97
C03S-12-11,03D5A22ABA93
C03S-12-12,03D5A231BA99
C03S-12-13,03D63754BA95
C03T-13-01,03D63772BA91
C03T-13-02,03D63750BA91
C03T-13-03,03D5A2E3BA96
C03T-13-04,03D63771BA92
C03T-13-05,03D5A2D3BA95
C03T-13-06,03D6375FBA9E
C03T-13-07,03D63773BA90
C03T-13-08,03D6376ABA98
C03T-13-09,03D63769BA9B
C03T-13-10,03D6375EBA9F
C03T-13-11,03D6376BBA99
C03T-13-12,03D5A1E5BA93
C03T-13-13,03D5A1E0BA96
C05E-01-01,03D63751BA90
C05E-02-01,03D63740BA90
C05E-03-01,03D63744BA94
C05E-04-01,03D63745BA95
C05E-04-02,03D63748BA98
C05E-05-01,03D5A2D0BA96
C05E-05-02,03D63741BA91
C05E-06-01,03D6374FBA9F
C05E-06-02,03D63768BA9A
C05E-07-01,03D6374ABA9A
C05E-07-02,03D63743BA93
C05E-08-01,03D6325ABA9E
C05E-08-02,03D6324EBA9B
C05E-09-01,03D6323DBA9F
C05E-09-02,03D63253BA97
C05E-10-01,03D5A354BA9B
C05E-10-02,03D5A33ABA93
C05E-11-01,03D5A353BA9C
C05E-11-02,03D637F4BA9F
C05E-12-01,03D5A340BA9E
C05E-12-02,03D5A33EBA97
C05E-21-01,03D5A341BA9F
C05E-21-02,03D5A367BA9B
C05E-21-03,03D5A34FBA91
C05E-21-04,03D5A349BA97
C05E-21-05,03D5A369BA95
C05E-21-06,03D5A35CBA93
C05E-22-01,03D5A368BA94
C05E-22-02,03D5A308BA92
C05E-22-03,03D5A376BA9B
C05E-22-04,03D5A378BA95
C05E-22-05,03D637AFBA91
C05E-22-06,03D5A30CBA96
C05E-23-01,03D5A30DBA97
C05E-23-02,03D5A305BA9F
C05E-23-03,03D5A1F6BA91
C05E-23-04,03D5A306BA9C
C05E-23-05,03D5A31FBA94
C05E-23-06,03D5A327BA9F
C05E-24-01,03D5A31CBA97
C05E-24-02,03D5A30EBA94
C05E-24-03,03D5A329BA91
C05E-24-04,03D5A31DBA96
C05E-24-05,03D63752BA93
C05E-24-06,03D5A2FCBA98
C05E-25-01,03D5A2AABA9B
C05E-25-02,03D5A29DBA9F
C05E-25-03,03D63799BA94
C05E-25-04,03D5A2A4BA95
C05E-25-05,03D63797BA9A
C05E-25-06,03D5A2B7BA97
C05E-99-99,03D63798BA95
C05E-01-01,03D63751BA90
C05E-02-01,03D63740BA90
C05E-03-01,03D63744BA94
C05E-04-01,03D63745BA95
C05E-04-02,03D63748BA98
C05E-05-01,03D5A2D0BA96
C05E-05-02,03D63741BA91
C05E-06-01,03D6374FBA9F
C05E-06-02,03D63768BA9A
C05E-07-01,03D6374ABA9A
C05E-07-02,03D63743BA93
C05E-08-01,03D6325ABA9E
C05E-08-02,03D6324EBA9B
C05E-09-01,03D6323DBA9F
C05E-09-02,03D63253BA97
C05E-10-01,03D5A354BA9B
C05E-10-02,03D5A33ABA93
C05E-11-01,03D5A353BA9C
C05E-11-02,03D637F4BA9F
C05E-12-01,03D5A340BA9E
C05E-12-02,03D5A33EBA97
C05E-21-01,03D5A341BA9F
C05E-21-02,03D5A367BA9B
C05E-21-03,03D5A34FBA91
C05E-21-04,03D5A349BA97
C05E-21-05,03D5A369BA95
C05E-21-06,03D5A35CBA93
C05E-22-01,03D5A368BA94
C05E-22-02,03D5A308BA92
C05E-22-03,03D5A376BA9B
C05E-22-04,03D5A378BA95
C05E-22-05,03D637AFBA91
C05E-22-06,03D5A30CBA96
C05E-23-01,03D5A30DBA97
C05E-23-02,03D5A305BA9F
C05E-23-03,03D5A1F6BA91
C05E-23-04,03D5A306BA9C
C05E-23-05,03D5A31FBA94
C05E-23-06,03D5A327BA9F
C05E-24-01,03D5A31CBA97
C05E-24-02,03D5A30EBA94
C05E-24-03,03D5A329BA91
C05E-24-04,03D5A31DBA96
C05E-24-05,03D63752BA93
C05E-24-06,03D5A2FCBA98
C05E-25-01,03D5A2AABA9B
C05E-25-02,03D5A29DBA9F
C05E-25-03,03D63799BA94
C05E-25-04,03D5A2A4BA95
C05E-25-05,03D63797BA9A
C05E-25-06,03D5A2B7BA97
C05E-99-99,03D63798BA95
C07E-01-01,03D62FB1BA97
C07E-02-01,03D62F8FBA9A
C07E-03-01,03D62F9FBA9B
C07E-04-01,03D62F7FBA95
C07E-05-01,03D62F7EBA94
C07E-06-01,03D58E09BA9C
C07E-06-02,03D62F82BA97
C07E-07-01,03D62F98BA9C
C07E-07-02,03D62FB2BA94
C07E-08-01,03D6326FBA98
C07E-08-02,03D62FB7BA91
C07E-09-01,03D62FBDBA9B
C07E-09-02,03D62FCFBA9E
C07E-10-01,03D62FADBA9A
C07E-10-02,03D62FC0BA91
C07E-11-01,03D5A283BA90
C07E-11-02,03D5A290BA92
C07E-12-01,03D5A28CBA9F
